Neighbourhood,Neighbourhood Id,Part-Time Employment,Drug Arrests,Low Income Population,Total Population,Healthy Food Index,LowIncPop/TotalPop,NormalPop,NormalLowIncome,NormalPartTime,NormalDrugArrest,norm_low/total
West Humber-Clairville,1,"13,305.00",29.00,"7,590.00","33,312.00",23.82,0.227845821,0.45,0.475935829,0.476350254,0.166666667,0.246625111
Mount Olive-Silverstone-Jamestown,2,945.00,24.00,"11,540.00","32,954.00",37.57,0.350185107,0.44,0.739973262,0.030414547,0.137931034,0.416943611
Thistletown-Beaumond Heights,3,527.00,7.00,"2,350.00","10,360.00",42.26,0.226833977,0.06,0.125668449,0.01533355,0.040229885,0.24521644
Rexdale-Kipling,4,515.00,11.00,"2,170.00","10,529.00",23.31,0.206097445,0.07,0.113636364,0.014900603,0.063218391,0.216347422
Elms-Old Rexdale,5,392.00,9.00,"2,790.00","9,456.00",24.71,0.295050761,0.05,0.155080214,0.010462893,0.051724138,0.340186591
Kingsview Village-The Westway,6,748.00,12.00,"6,760.00","22,000.00",35.69,0.307272727,0.26,0.420454545,0.023306996,0.068965517,0.357201787
Willowridge-Martingrove-Richview,7,609.00,6.00,"3,490.00","22,156.00",30.46,0.157519408,0.26,0.201871658,0.018292023,0.034482759,0.148717974
Humber Heights-Westmount,8,315.00,3.00,"1,780.00","10,948.00",32.82,0.162586774,0.07,0.087566845,0.007684814,0.017241379,0.155772667
Edenbridge-Humber Valley,9,541.00,3.00,"1,660.00","15,535.00",46.41,0.106855488,0.15,0.079545455,0.015838655,0.017241379,0.078184597
Princess-Rosethorn,10,425.00,4.00,950.00,"11,051.00",39.52,0.085965071,0.08,0.032085561,0.011653498,0.022988506,0.049101344
Eringate-Centennial-West Deane,11,713.00,7.00,"2,130.00","18,588.00",10.43,0.114590058,0.20,0.110962567,0.022044233,0.040229885,0.088952524
Markland Wood,12,594.00,2.00,990.00,"10,554.00",7.99,0.093803297,0.07,0.034759358,0.017750839,0.011494253,0.060013578
Etobicoke West Mall,13,661.00,0.00,"2,020.00","11,848.00",15.41,0.17049291,0.09,0.103609626,0.020168128,0,0.166779445
Islington-City Centre West,14,"13,461.00",30.00,"11,590.00","43,965.00",31.01,0.263618788,0.63,0.743315508,0.481978569,0.172413793,0.296427576
Kingsway South,15,"1,008.00",10.00,470.00,"9,271.00",43.15,0.050695718,0.05,0,0.03268752,0.057471264,0
Stonegate-Queensway,16,"1,908.00",11.00,"3,080.00","25,051.00",31.23,0.122949184,0.31,0.174465241,0.065158567,0.063218391,0.100589944
Mimico,17,"1,786.00",24.00,"4,390.00","33,964.00",21.59,0.129254505,0.46,0.262032086,0.060756936,0.137931034,0.109368096
New Toronto,18,"1,836.00",16.00,"2,410.00","11,463.00",24.84,0.210241647,0.08,0.129679144,0.062560883,0.091954023,0.222116904
Long Branch,19,357.00,4.00,"1,520.00","10,084.00",28.08,0.150733836,0.06,0.070187166,0.00920013,0.022988506,0.139271225
Alderwood,20,951.00,4.00,"1,090.00","12,054.00",11.41,0.090426414,0.09,0.04144385,0.030631021,0.022988506,0.055312344
Humber Summit,21,"2,141.00",12.00,"3,330.00","12,416.00",32.33,0.26820232,0.10,0.191176471,0.07356496,0.068965517,0.302808685
Humbermede,22,624.00,19.00,"4,030.00","15,545.00",20.52,0.259247346,0.15,0.237967914,0.018833207,0.109195402,0.290341736
Pelmo Park-Humberlea,23,833.00,32.00,"1,430.00","10,722.00",21.71,0.13337064,0.07,0.064171123,0.026373706,0.183908046,0.115098504
Black Creek,24,759.00,28.00,"7,940.00","21,737.00",41.84,0.365275797,0.26,0.499331551,0.023703864,0.16091954,0.437952592
Glenfield-Jane Heights,25,"1,714.00",55.00,"9,610.00","30,491.00",41.05,0.31517497,0.40,0.610962567,0.058159252,0.316091954,0.368203143
Downsview-Roding-CFB,26,"4,334.00",54.00,"7,750.00","35,052.00",23.72,0.22110008,0.48,0.486631016,0.152686077,0.310344828,0.237233814
York University Heights,27,"11,541.00",59.00,"7,950.00","27,593.00",47,0.288116551,0.35,0.5,0.412707003,0.33908046,0.330532911
Rustic,28,163.00,10.00,"2,980.00","9,941.00",16.55,0.299768635,0.06,0.167780749,0.002200815,0.057471264,0.346754727
Maple Leaf,29,142.00,2.00,"1,770.00","10,111.00",14.42,0.175056869,0.06,0.086898396,0.001443158,0.011494253,0.173133304
